16-22 June 	41% 	43% 	16% 	2% 	2,320 	TNS 	Online 	
20-22 June 	44% 	45% 	9% 	1% 	3,011 	Opinium 	Online 	
21 June 	EU Referendum: The Great Debate held on BBC One.[25]
20 June 	45% 	44% 	11% 	1% 	1,003 	Survation/IG Group 	Telephone 	
18–19 June 	42% 	44% 	13% 	2% 	1,652 	YouGov 	Online 	
16–19 June 	53% 	46% 	2% 	7% 	800 	ORB/Telegraph 	Telephone 	
17–18 June 	45% 	42% 	13% 	3% 	1,004 	Survation 	Telephone 	
16–17 June 	44% 	43% 	9% 	1% 	1,694 	YouGov 	Online 	
14–17 June 	44% 	44% 	12% 	N/A 	2,006 	Opinium 	Online 	Most fieldwork conducted before killing of Jo Cox.
16 June 	All official campaigning suspended until 19 June after the fatal shooting of Jo Cox MP.[26]
15–16 June 	42% 	44% 	9% 	2% 	1,734 	YouGov 	Online 	
15 June 	42% 	45% 	13% 	3% 	1,104 	Survation 	Telephone 	
10–15 June 	53% 	47% 	N/A 	6% 	1,064 	BMG Research 	Telephone 	Assumes "Don't knows" will break 2:1 in favour of Remain
10–15 June 	45% 	55% 	N/A 	10% 	1,468 	BMG Research 	Online 	Excluding "Don't knows"
11–14 June 	43% 	49% 	3% 	6% 	1,257 	Ipsos MORI 	Telephone 	
12–13 June 	39% 	46% 	15% 	7% 	1,905 	YouGov 	Online 	
10–13 June 	45% 	50% 	5% 	5% 	1,000 	ICM 	Telephone 	Final ICM polls.[27] Only include those "definite" to vote. Paired telephone/online polls by otherwise identical methodology
10–13 June 	44% 	49% 	7% 	5% 	2,001 	ICM 	Online
9–13 June 	46% 	45% 	9% 	1% 	1,002 	ComRes 	Telephone 	
7–13 June 	40% 	47% 	13% 	7% 	2,497 	TNS 	Online 	
9–12 June 	48% 	49% 	3% 	1% 	800 	ORB 	Telephone 	Measures only those "definite" to vote
16 May–12 June 	53% 	47% 	N/A 	6% 	N/A 	NATCEN 	Online/Telephone 	Primarily online, those who failed to respond were followed up by phone
9–10 June 	42% 	43% 	11% 	1% 	1,671 	YouGov 	Online 	
7–10 June 	44% 	42% 	13% 	2% 	2,009 	Opinium 	Online 	
8–9 June 	45% 	55% 	N/A 	10% 	2,052 	ORB 	Online 	Weighted according to "definite" voters
9 June 	The ITV Referendum Debate held on ITV.[25]
7 June 	The Prime Minister and Nigel Farage MEP answer audience questions on ITV.[25]
5–6 June 	43% 	42% 	11% 	1% 	2,001 	YouGov 	Online 	Remainder "won't vote"
3–5 June 	43% 	48% 	9% 	5% 	2,047 	ICM 	Online 	
2–5 June 	48% 	47% 	5% 	1% 	800 	ORB 	Telephone 	Weighted according to "definite" to vote
1–3 June 	41% 	45% 	11% 	4% 	3,405 	YouGov 	Online 	
31 May–3 June 	43% 	41% 	16% 	2% 	2,007 	Opinium 	Online 	Weighted by new methodology[28]
40% 	43% 	16% 	3% 	Weighted by previous methodology[29]
3 June 	Secretary of State for Justice and Vote Leave campaigner Michael Gove answers audience questions on Sky News.[25]
2 June 	Prime Minister and Stronger In campaigner David Cameron answers audience questions on Sky News.[25]
30–31 May 	41% 	41% 	13% 	N/A 	1,735 	YouGov 	Online 	
27–29 May 	42% 	45% 	15% 	3% 	1,004 	ICM 	Telephone 	Paired telephone/online polls by otherwise identical methodology
27–29 May 	44% 	47% 	9% 	3% 	2,052 	ICM 	Online
25–29 May 	51% 	46% 	3% 	5% 	800 	ORB 	Telephone 	
27 May 	Purdah begins: local and central government are prohibited from making announcements in a way that could affect the outcome of the referendum.[30][31]
26 May 	Office for National Statistics publishes its last quarterly report on migration before the referendum.[32]

TV debate for young voters shown on BBC One.[25]
20–25 May 	44% 	45% 	12% 	1% 	1,638 	BMG Research 	Online 	
24 May 	44% 	38% 	18% 	6% 	1,013 	Survation 	Telephone 	
23–24 May 	41% 	41% 	13% 	N/A 	1,756 	YouGov 	Online 	
19–23 May 	41% 	43% 	16% 	2% 	1,213 	TNS 	Online 	
20–22 May 	45% 	45% 	10% 	N/A 	2,003 	ICM 	Online 	
18–22 May 	55% 	42% 	3% 	13% 	800 	ORB 	Telephone 	Poll was said to reflect the private polling conducted for the government[33]
17–19 May 	44% 	40% 	14% 	4% 	2,008 	Opinium 	Online 	
16–17 May 	44% 	40% 	12% 	4% 	1,648 	YouGov 	Online 	
14–17 May 	52% 	41% 	7% 	11% 	1,000 	ComRes 	Telephone 	
14–16 May 	55% 	37% 	5% 	18% 	1,002 	Ipsos MORI 	Telephone 	
13–15 May 	47% 	39% 	14% 	8% 	1,002 	ICM 	Telephone 	Paired telephone/online polls by otherwise identical methodology
13–15 May 	43% 	47% 	10% 	4% 	2,048 	ICM 	Online
11–15 May 	55% 	40% 	5% 	15% 	800 	ORB 	Telephone 	
10–12 May 	38% 	41% 	21% 	3% 	1,222 	TNS 	Online 	
29 Apr–12 May 	36% 	39% 	22% 	3% 	996 	YouGov 	Telephone 	
29 Apr–12 May 	38% 	40% 	16% 	2% 	1,973 	YouGov 	Online 	
6–8 May 	44% 	46% 	11% 	2% 	2,005 	ICM 	Online 	
4–6 May 	42% 	40% 	13% 	2% 	3,378 	YouGov 	Online 	Remainder "won't vote"
29 Apr–3 May 	44% 	45% 	11% 	1% 	2,040 	ICM 	Online 	
27–29 Apr 	43% 	46% 	11% 	3% 	2,029 	ICM 	Online 	
26–29 Apr 	42% 	41% 	14% 	1% 	2,005 	Opinium 	Online 	24% of respondents preferred not to say; the stated percentages are of the other 76%
27–29 Apr 	49% 	51% 	N/A 	2% 	2,000 	ORB 	Online 	
26–28 Apr 	39% 	36% 	26% 	3% 	1,221 	TNS 	Online 	
25–26 Apr 	41% 	42% 	13% 	1% 	1,650 	YouGov 	Online 	Remainder "won't vote"
25–26 Apr 	45% 	38% 	17% 	7% 	1,003 	Survation 	Telephone 	
22–26 Apr 	43% 	45% 	13% 	2% 	2,001 	BMG Research 	Online 	
22–24 Apr 	44% 	46% 	10% 	2% 	2,001 	ICM 	Online 	
20–24 Apr 	51% 	43% 	6% 	8% 	800 	ORB 	Telephone 	
22 April 	President of the United States Barack Obama comments on the referendum debate, supporting the United Kingdom remaining in the European Union.[34]
16–19 Apr 	51% 	40% 	9% 	9% 	1,002 	ComRes 	Telephone 	
16–18 Apr 	49% 	39% 	8% 	10% 	1,026 	Ipsos MORI 	Telephone 	
15–17 Apr 	48% 	41% 	11% 	7% 	1,003 	ICM 	Telephone 	Paired telephone/online polls by otherwise identical methodology
15–17 Apr 	43% 	44% 	13% 	1% 	2,008 	ICM 	Online
13–17 Apr 	53% 	41% 	6% 	12% 	800 	ORB 	Telephone 	
15 April 	The EU referendum campaign officially begins.[35]
12–14 Apr 	38% 	34% 	28% 	4% 	1,198 	TNS 	Online 	
12–14 Apr 	40% 	39% 	16% 	1% 	3,371 	YouGov 	Online 	Remainder "won't vote"
13 April 	The Electoral Commission chooses Vote Leave and Britain Stronger in Europe as the official Leave and Remain campaigns.[36][37]
11–12 Apr 	39% 	39% 	17% 	N/A 	1,693 	YouGov 	Online 	Remainder "won't vote"
