# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_1_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2174266419
# output
#   file = stan/ukeu_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3
# Adaptation terminated
# Step size = 0.209009
# Diagonal elements of inverse mass matrix:
# 0.00819347, 0.00832727, 0.00910791

351.165,0.959443,0.209009,2,3,0,27.5271,26.3823,8.24344
351.693,0.997534,0.209009,5,23,0,22.366,21.4223,6.78461
350.131,0.737436,0.209009,3,7,0,22.7731,21.4186,7.20892
351.452,0.915334,0.209009,5,23,0,26.6304,25.1271,7.63134
351.304,0.936322,0.209009,2,3,0,26.3541,24.7767,7.48047
349.547,0.849141,0.209009,2,3,0,25.2889,24.9895,8.08973
351.554,0.971211,0.209009,2,3,0,26.4173,25.3257,7.99784
351.505,0.996202,0.209009,2,3,0,26.3607,25.3542,8.00131
350.893,0.746713,0.209009,5,23,0,27.3499,26.0041,8.33495
350.178,0.687704,0.209009,2,3,0,27.2286,26.8647,8.02104
351.091,0.921442,0.209009,2,3,0,27.7115,25.9855,8.17113
351.249,1,0.209009,2,3,0,27.5494,26.0924,8.19183
351.757,0.98268,0.209009,5,23,0,25.0216,23.7766,7.63876
351.256,0.73392,0.209009,2,3,0,25.6442,23.8556,7.26235
351.859,0.942686,0.209009,4,11,0,26.1846,24.7908,7.77512
350.924,0.795205,0.209009,5,19,0,22.8556,21.0058,6.74256
349.174,0.934939,0.209009,4,15,0,26.8092,24.695,7.28174
348.338,0.851808,0.209009,2,3,0,26.4393,25.8013,7.24154
348.255,0.998089,0.209009,3,7,0,25.152,23.5009,8.10801
349.635,1,0.209009,1,1,0,25.0745,23.6826,7.99399
347.457,0.911271,0.209009,5,31,0,18.8062,18.8173,6.03987
350.175,0.951318,0.209009,4,13,0,22.6072,21.0216,6.29579
350.642,0.970216,0.209009,3,7,0,21.3952,20.7763,6.71148
351.442,0.935366,0.209009,3,7,0,21.7772,20.9882,6.56048
350.772,0.95275,0.209009,4,15,0,21.1192,20.3213,6.18698
347.88,0.893845,0.209009,5,23,0,18.7254,17.4846,5.56027
347.369,0.875756,0.209009,3,7,0,18.5352,18.5059,5.57545
346.952,0.995354,0.209009,3,7,0,18.2175,18.1912,5.80482
346.832,0.989331,0.209009,1,1,0,18.1798,18.1656,5.80933
347.03,0.977032,0.209009,2,3,0,19.1213,17.5239,5.93863
348.397,1,0.209009,2,3,0,19.051,18.9226,5.95612
349.048,0.917321,0.209009,2,3,0,19.3697,18.2604,5.88964
349.144,0.983904,0.209009,2,3,0,19.2239,18.4037,5.84955
349.144,0.92856,0.209009,2,3,0,19.2239,18.4037,5.84955
346.507,0.76953,0.209009,2,3,0,19.5921,17.5702,5.93972
347.637,1,0.209009,2,3,0,19.1191,17.7891,5.99695
348.994,0.961984,0.209009,3,7,0,19.5054,19.2847,6.10828
348.555,0.911761,0.209009,2,3,0,20.4813,18.5953,5.91935
348.81,1,0.209009,1,1,0,20.3814,18.6319,5.88098
349.942,0.968291,0.209009,2,3,0,20.3586,19.0366,6.12893
350.493,0.94014,0.209009,3,7,0,20.5089,19.5252,6.13763
350.369,0.968983,0.209009,2,3,0,20.7214,19.4393,6.11695
350.959,0.938284,0.209009,5,19,0,27.6892,25.7819,8.10772
351.354,0.996949,0.209009,2,3,0,27.4338,26.1728,8.10198
350.527,0.843221,0.209009,2,3,0,27.3532,25.6541,8.34837
350.244,0.992671,0.209009,3,7,0,27.1631,25.5609,8.39217
350.816,1,0.209009,5,19,0,21.6677,20.6047,6.22523
351.491,0.951675,0.209009,4,11,0,22.9455,21.6029,7.00808
351.792,1,0.209009,3,7,0,23.0106,22.2052,6.76776
351.769,0.992184,0.209009,2,3,0,22.9517,21.5802,6.85335
351.766,0.959654,0.209009,4,15,0,24.7232,23.4913,7.0884
350.611,0.909369,0.209009,3,5,0,23.8323,22.7754,7.55319
350.974,0.979486,0.209009,3,7,0,25.521,24.5753,7.2156
349.522,0.865799,0.209009,5,19,0,20.5354,19.9466,6.56734
349.761,0.949409,0.209009,3,7,0,20.3887,20.2146,6.34969
347.24,0.838437,0.209009,2,3,0,19.9058,20.4772,6.28475
348.451,1,0.209009,1,1,0,20.0694,20.3181,6.3245
348.17,0.99877,0.209009,3,7,0,21.0836,18.892,6.065
347.355,0.952493,0.209009,2,3,0,21.0898,18.7083,6.06776
345.057,0.660532,0.209009,1,1,0,21.0485,18.2581,6.0606
347.9,1,0.209009,1,1,0,20.902,18.6966,6.02522
350.001,0.854264,0.209009,2,3,0,20.0619,19.2282,6.17305
349.685,0.951113,0.209009,2,3,0,19.8476,19.4716,6.05418
351.162,0.973776,0.209009,3,7,0,21.4714,20.3871,6.33669
349.479,0.816961,0.209009,3,7,0,20.6783,20.6629,6.17722
349.63,0.913888,0.209009,5,19,0,24.1603,23.1756,7.79179
348.989,0.918262,0.209009,1,1,0,24.0128,23.1647,7.83296
349.056,1,0.209009,1,1,0,24.2846,23.0732,7.86239
348.333,0.668085,0.209009,2,3,0,23.4868,23.7411,7.63889
350.89,1,0.209009,2,3,0,24.952,23.3874,7.73086
350.89,0.751918,0.209009,2,3,0,24.952,23.3874,7.73086
351.79,0.810215,0.209009,3,7,0,25.1471,24.2388,7.30753
351.576,0.981062,0.209009,2,3,0,25.4193,24.2597,7.26307
351.541,0.999591,0.209009,3,7,0,25.0951,24.0647,7.73953
351.675,0.997761,0.209009,5,31,0,25.3478,24.0878,7.74189
351.24,0.829843,0.209009,4,11,0,24.9994,23.9589,7.07945
352.002,0.99426,0.209009,2,3,0,24.801,23.9339,7.31523
351.973,0.944335,0.209009,2,3,0,25.4842,23.9704,7.47309
351.658,0.899374,0.209009,4,15,0,23.6894,22.8951,7.31367
351.597,0.823576,0.209009,2,3,0,24.3814,22.9732,6.94496
351.623,0.971396,0.209009,4,11,0,22.5384,21.5459,6.89824
351.239,0.936636,0.209009,3,7,0,22.4202,21.9381,6.61348
351.434,0.999283,0.209009,5,23,0,26.4139,25.6452,7.79414
351.555,0.857264,0.209009,2,3,0,26.4442,24.8949,7.9322
350.248,0.799519,0.209009,3,7,0,27.1223,24.9247,7.60062
351.654,0.899883,0.209009,4,15,0,23.1717,22.5369,6.82334
348.468,0.923803,0.209009,5,19,0,18.882,18.1233,5.57408
348.497,0.947503,0.209009,4,15,0,19.5237,18.0099,5.82516
