# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_2_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2175771236
# output
#   file = stan/ukeu_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,alpha.1,alpha.2,alpha.3,beta_teleph.1,beta_teleph.2,beta_teleph.3,beta_pollster.1.1,beta_pollster.2.1,beta_pollster.3.1,beta_pollster.4.1,beta_pollster.5.1,beta_pollster.6.1,beta_pollster.7.1,beta_pollster.8.1,beta_pollster.9.1,beta_pollster.10.1,beta_pollster.11.1,beta_pollster.12.1,beta_pollster.13.1,beta_pollster.14.1,beta_pollster.15.1,beta_pollster.1.2,beta_pollster.2.2,beta_pollster.3.2,beta_pollster.4.2,beta_pollster.5.2,beta_pollster.6.2,beta_pollster.7.2,beta_pollster.8.2,beta_pollster.9.2,beta_pollster.10.2,beta_pollster.11.2,beta_pollster.12.2,beta_pollster.13.2,beta_pollster.14.2,beta_pollster.15.2,beta_pollster.1.3,beta_pollster.2.3,beta_pollster.3.3,beta_pollster.4.3,beta_pollster.5.3,beta_pollster.6.3,beta_pollster.7.3,beta_pollster.8.3,beta_pollster.9.3,beta_pollster.10.3,beta_pollster.11.3,beta_pollster.12.3,beta_pollster.13.3,beta_pollster.14.3,beta_pollster.15.3
# Adaptation terminated
# Step size = 0.0847993
# Diagonal elements of inverse mass matrix:
# 0.0164925, 0.0155722, 0.0184936, 0.0191897, 0.0186961, 0.0216238, 0.0193899, 0.022511, 0.0299315, 0.0151438, 0.0158012, 0.0176628, 0.0123726, 0.0133121, 0.014207, 0.0165363, 0.0149791, 0.0175468, 0.0268649, 0.0258168, 0.0248226, 0.0257524, 0.0209824, 0.0307575, 0.0141648, 0.0143169, 0.0152685, 0.0247033, 0.0245835, 0.0335831, 0.022352, 0.0223039, 0.0238628, 0.014571, 0.0171436, 0.0175847, 0.0151283, 0.0169377, 0.0179379, 0.0152245, 0.0165118, 0.0184811, 0.0176294, 0.0171105, 0.0192298, 0.0188337, 0.0203351, 0.0210394, 0.0180352, 0.0203927, 0.0173731

400.724,0.905007,0.0847993,6,63,0,61.2836,59.3648,18.1067,0.661433,0.642497,0.513934,0.78689,0.982186,1.10761,0.831546,0.920671,0.819936,1.13455,1.16443,0.974786,0.972575,1.11282,0.88682,1.22136,0.896377,1.48951,1.00993,1.03201,1.14772,0.933136,0.787058,0.702035,1.15342,1.05592,0.951568,1.05537,0.938988,0.905113,0.936283,0.836074,1.53242,1.01412,1.29065,1.2037,1.75085,0.600736,0.868128,1.35454,0.900698,0.819546,1.8114,0.636574,1.00986,1.1491,0.986335,0.75479
406.865,0.979093,0.0847993,6,63,0,68.0988,64.7882,21.5756,0.751495,0.685254,0.59365,0.815473,1.0865,1.05959,0.599563,1.04258,0.938174,0.866672,0.845853,0.819485,0.804324,1.13321,0.933702,1.21513,0.783191,1.00896,0.951631,1.16855,1.07912,0.696302,1.10119,0.984737,0.923582,1.03026,1.01039,0.913892,1.0097,0.980251,1.07076,0.84714,1.15249,1.01803,1.16745,0.974177,1.08865,0.788822,1.14567,0.979121,1.15467,0.944272,1.26228,0.891949,1.11216,0.956187,0.801223,0.524003
411.314,0.998662,0.0847993,6,63,0,65.4891,69.2355,19.2236,0.904882,0.809747,0.672538,0.894773,0.861815,0.875538,0.854388,1.28208,0.877441,0.858808,0.977991,1.18654,0.906139,0.988718,0.895437,1.23967,0.965432,1.54673,1.08116,0.844617,0.81339,0.793664,1.09287,0.94321,0.838627,1.11748,1.17054,0.732595,0.84216,0.872889,0.956106,0.922841,1.53068,1.36501,0.912138,0.913731,1.55221,0.647379,1.11246,1.14346,0.906158,1.00645,1.34289,0.854665,0.981984,1.047,1.1536,0.774687
410.498,0.961387,0.0847993,5,31,0,66.2218,69.2561,19.4877,0.883705,0.814504,0.676543,0.922697,0.852884,0.88924,0.854986,1.31436,0.856395,0.844724,0.97796,1.16562,0.888803,1.00628,0.878764,1.1948,0.972802,1.53151,1.12325,0.828631,0.813351,0.792746,1.06861,0.95344,0.839304,1.10135,1.2514,0.771322,0.847497,0.846634,0.976708,0.936128,1.50451,1.31634,0.950939,0.907237,1.58581,0.658114,1.09111,1.16095,0.881507,1.01182,1.28661,0.878337,0.949289,1.08229,1.21359,0.761403
397.966,0.57011,0.0847993,5,31,0,70.7516,74.1165,20.0327,0.873406,0.828245,0.579221,0.804106,0.828303,0.771094,0.884585,1.05428,1.27889,0.86766,0.899521,1.02707,0.798079,1.10777,0.810225,1.27879,1.04966,1.19169,1.01308,0.833209,0.739379,0.900228,1.09501,0.927011,0.898065,0.715028,1.12193,0.75662,0.845166,0.789812,0.986741,0.843954,1.12466,0.998614,1.13189,0.849798,1.84627,0.627213,1.51172,1.18571,1.14528,1.39307,1.78035,0.717556,1.01889,1.39416,1.09665,0.629184
