# stan_version_major = 2
# stan_version_minor = 8
# stan_version_patch = 0
# model = ukeu_3_model
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = stan/data.R
# init = 2 (Default)
# random
#   seed = 2252998156
# output
#   file = stan/ukeu_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,grand_mu,grand_sigma,kappa_pollster.1,kappa_pollster.2,kappa_pollster.3,kappa_pollster.4,kappa_pollster.5,kappa_pollster.6,kappa_pollster.7,kappa_pollster.8,kappa_pollster.9,kappa_pollster.10,kappa_pollster.11,kappa_pollster.12,kappa_pollster.13,kappa_pollster.14,kappa_pollster.15,kappa_teleph
# Adaptation terminated
# Step size = 0.0395551
# Diagonal elements of inverse mass matrix:
# 0.156827, 4.09737e-05, 0.170366, 0.163559, 0.157127, 0.161299, 0.202636, 0.16611, 0.156285, 0.208777, 0.185146, 0.167696, 0.169172, 0.159134, 0.168103, 0.160686, 0.167572, 0.00661041

-182399,0.762358,0.0395551,7,127,0,1.31255,5.46618,-1.74367,-1.3713,-1.38409,-1.40243,-1.05494,-0.896903,-1.36794,-1.64219,-1.57669,-1.2418,-0.926989,-1.3597,-0.896854,-1.16432,-1.16836,0.346876
-182396,0.990721,0.0395551,7,79,0,1.16693,5.51351,-1.9057,-1.22283,-1.20174,-1.31906,-0.979589,-0.873242,-1.15744,-1.26155,-1.24965,-1.04556,-0.597897,-1.12989,-0.609528,-0.978145,-0.82303,0.213181
-182398,0.596148,0.0395551,5,31,0,1.12381,5.51305,-1.89885,-1.20473,-1.15983,-1.28103,-1.07428,-0.800911,-1.10929,-1.36042,-1.10285,-0.85914,-0.696829,-1.16269,-0.742723,-0.947126,-0.790779,0.20889
-182402,0.965293,0.0395551,5,31,0,1.11549,5.5246,-1.76499,-1.11153,-1.16602,-1.20894,-1.18713,-0.692584,-1.16193,-1.35049,-1.28584,-0.898752,-0.58854,-1.04006,-0.870712,-0.846638,-0.751628,0.211086
-182408,0.989527,0.0395551,5,31,0,1.10935,5.51331,-1.45342,-1.21045,-1.12619,-1.25194,-0.823857,-0.546514,-1.12078,-1.75074,-1.59876,-1.07314,-0.672901,-1.13524,-0.440068,-1.10737,-0.876876,0.218696
